service_category1,service_category2
ban parking,set restricted car lane
add docks,add cameras near bike docks
force cyclists dismount,widen bike lane
force cyclists dismount,widen shared path
widen bike lane,build separate bike lanes
build separate bike lanes,add clear signage on bike lane
reinstate the bike lane once the construction is complete,build fast and slow bike lanes
widen bike lane,add clear signage at the beginning of bike lane
add left-turn-only sign,raise pavement to footpath level
